iter	Logloss
0	0.6714230314
1	0.6541354577
2	0.6378642908
3	0.6233759774
4	0.6087027179
5	0.5948903178
6	0.5831553514
7	0.5734172345
8	0.5637335369
9	0.5558482623
10	0.5471529661
11	0.5399962832
12	0.5336166917
13	0.5269345608
14	0.5213341002
15	0.5162146583
16	0.5112283795
17	0.5069876549
18	0.5025417884
19	0.4979618635
20	0.4945422532
21	0.4909497846
22	0.4879909972
23	0.4856007272
24	0.4828661831
25	0.480071151
26	0.4774154004
27	0.4749692685
28	0.4728851194
29	0.4708946868
30	0.4687657687
31	0.4667097246
32	0.4645432501
33	0.4620717988
34	0.460126583
35	0.4585763796
36	0.4570137403
37	0.455569938
38	0.4541951796
39	0.4527738116
40	0.4517959557
41	0.4507952179
42	0.4494713967
43	0.4483036703
44	0.4469946229
45	0.4454807819
46	0.444017331
47	0.4427247487
48	0.4417149576
49	0.4404951498
50	0.4393503551
51	0.438435176
52	0.4370407689
53	0.4359536268
54	0.4348223126
55	0.4339915977
56	0.4328024817
57	0.4320510081
58	0.4315802365
59	0.4302935239
60	0.4291298764
61	0.4281447581
62	0.4273075766
63	0.4265512281
64	0.4255168141
65	0.4243852014
66	0.4231784264
67	0.4223786022
68	0.4215019742
69	0.4206501184
70	0.4199703748
71	0.4190757397
72	0.4184143017
73	0.4178114116
74	0.4174381371
75	0.4166210022
76	0.415546097
77	0.4149485295
78	0.4139024257
79	0.4131683126
80	0.412661875
81	0.4120758977
82	0.4113934679
83	0.4106211021
84	0.4101151122
85	0.4095902944
86	0.4087155318
87	0.4082267282
88	0.407598096
89	0.4066924676
90	0.406071073
91	0.4055645359
92	0.4050742152
93	0.4043122457
94	0.4037808867
95	0.4029653933
96	0.4022372742
97	0.4015578042
98	0.4009111897
99	0.4004284549
100	0.3999593746
101	0.3992632654
102	0.3985920528
103	0.3975375423
104	0.3972189856
105	0.3966718828
106	0.3962173773
107	0.3955084094
108	0.394836003
109	0.3945874103
110	0.3938416075
111	0.3933480534
112	0.392868726
113	0.3921253108
114	0.3913654057
115	0.3908930921
116	0.3901996193
117	0.3900718782
118	0.3896089412
119	0.3890220437
120	0.3885469196
121	0.3877832091
122	0.3871885018
123	0.3863535339
124	0.3858089929
125	0.3852973571
126	0.3845864244
127	0.3841393307
128	0.3838455213
129	0.3834027055
130	0.3827412674
131	0.382304794
132	0.3818613315
133	0.381324824
134	0.3808593999
135	0.3802158446
136	0.3796770489
137	0.3793232987
138	0.3789549488
139	0.3782656793
140	0.3778716867
141	0.3772300963
142	0.3766874455
143	0.376141835
144	0.3757569702
145	0.3750911797
146	0.3745834487
147	0.374027019
148	0.3734063208
149	0.37307886
150	0.3726806392
151	0.3722094945
152	0.3716137427
153	0.3712347228
154	0.370911714
155	0.3704163443
156	0.3696664625
157	0.3690296226
158	0.3684834152
159	0.3677695724
160	0.3671253207
161	0.3664881077
162	0.3656105844
163	0.3647731542
164	0.3641586739
165	0.3634626642
166	0.3632623973
167	0.3627011176
168	0.362110738
169	0.36171294
170	0.3611518344
171	0.3606202764
172	0.3602765246
173	0.3594778694
174	0.3590711922
175	0.3584347502
176	0.3577755506
177	0.3572731671
178	0.3566387149
179	0.356058085
180	0.3555593576
181	0.3547362286
182	0.3542215336
183	0.3538382607
184	0.3532666095
185	0.3528825904
186	0.3523488935
187	0.3519469668
188	0.3515450401
189	0.3511566684
190	0.3504914748
191	0.3496927201
192	0.3489802702
193	0.3483493
194	0.3474567292
195	0.3466694901
196	0.3462119503
197	0.3454113302
198	0.3449341915
199	0.3445227638
200	0.3440269215
201	0.3434120682
202	0.3428154707
203	0.3422635427
204	0.3416266779
205	0.3410289363
206	0.3404628315
207	0.3395848356
208	0.3390828749
209	0.3383069773
210	0.3377523383
211	0.3372243121
212	0.3366136372
213	0.3361567441
214	0.3357532007
215	0.3352770071
216	0.3347415691
217	0.3341093553
218	0.3333272149
219	0.332847589
220	0.3322321139
221	0.3315853501
222	0.3306258247
223	0.3299752805
224	0.3294229546
225	0.3286399935
226	0.3278671799
227	0.3272237988
228	0.3268321689
229	0.3262157487
230	0.3258042961
231	0.3250992331
232	0.3240043062
233	0.3235117967
234	0.3227167977
235	0.322199914
236	0.3215016907
237	0.3210868556
238	0.3206847796
239	0.3200631861
240	0.3196636968
241	0.3191463405
242	0.3185710829
243	0.3181200595
244	0.3178462718
245	0.3173580403
246	0.3168142951
247	0.3161989195
248	0.3154145406
249	0.3146523722
250	0.3141847096
251	0.3136273348
252	0.3129640562
253	0.3124640853
254	0.3119810519
255	0.3113336664
256	0.3105889828
257	0.3100641401
258	0.3100061393
259	0.3095162414
260	0.3093979019
261	0.3087871524
262	0.3082309714
263	0.3076449941
264	0.3070202667
265	0.3063958377
266	0.3060045561
267	0.3054798627
268	0.3050113296
269	0.3046495955
270	0.3042320743
271	0.3035725265
272	0.3029796597
273	0.3025400773
274	0.3021986634
275	0.3016605641
276	0.3011084372
277	0.3003632562
278	0.2999388455
279	0.2995914873
280	0.2991605353
281	0.2986100002
282	0.2980432736
283	0.2976196339
284	0.2971740573
285	0.2967550687
286	0.2962762387
287	0.2961851834
288	0.2954259
289	0.2952412774
290	0.2947550854
291	0.2940864097
292	0.2936406839
293	0.2931239992
294	0.2923986657
295	0.2917734658
296	0.291290706
297	0.2910124414
298	0.2906546371
299	0.2901738671
