iter	Passed	Remaining
0	40	12178
1	68	10279
2	97	9621
3	124	9195
4	152	8971
5	179	8813
6	207	8664
7	234	8575
8	262	8496
9	289	8389
10	317	8335
11	346	8311
12	375	8280
13	403	8240
14	431	8202
15	460	8166
16	486	8106
17	514	8061
18	541	8005
19	570	7986
20	598	7957
21	627	7929
22	656	7909
23	685	7885
24	715	7874
25	747	7874
26	777	7860
27	808	7850
28	838	7835
29	869	7821
30	899	7807
31	931	7801
32	963	7795
33	995	7787
34	1026	7768
35	1056	7750
36	1088	7735
37	1120	7724
38	1151	7705
39	1183	7694
40	1216	7685
41	1250	7683
42	1283	7674
43	1316	7659
44	1348	7642
45	1381	7627
46	1415	7616
47	1448	7604
48	1481	7586
49	1523	7615
50	1553	7586
51	1586	7566
52	1618	7543
53	1651	7523
54	1683	7497
55	1714	7470
56	1745	7440
57	1777	7415
58	1809	7390
59	1842	7368
60	1874	7342
61	1907	7323
62	1940	7298
63	1973	7278
64	2008	7261
65	2041	7238
66	2074	7212
67	2106	7185
68	2138	7159
69	2171	7135
70	2204	7111
71	2237	7084
72	2268	7053
73	2300	7025
74	2332	6996
75	2363	6966
76	2396	6939
77	2429	6914
78	2462	6888
79	2494	6858
80	2527	6832
81	2559	6804
82	2590	6773
83	2622	6744
84	2655	6716
85	2687	6687
86	2720	6659
87	2752	6630
88	2783	6600
89	2817	6573
90	2850	6545
91	2881	6515
92	2912	6483
93	2947	6458
94	2978	6427
95	3010	6398
96	3042	6367
97	3074	6337
98	3105	6306
99	3138	6276
100	3170	6246
101	3202	6216
102	3234	6187
103	3267	6158
104	3299	6128
105	3332	6099
106	3363	6067
107	3396	6037
108	3428	6007
109	3460	5977
110	3491	5945
111	3522	5912
112	3554	5882
113	3586	5851
114	3618	5821
115	3650	5790
116	3681	5758
117	3714	5728
118	3748	5701
119	3781	5672
120	3814	5643
121	3848	5614
122	3880	5584
123	3913	5554
124	3947	5527
125	3980	5497
126	4017	5472
127	4053	5446
128	4087	5417
129	4122	5391
130	4155	5361
131	4189	5332
132	4224	5304
133	4257	5274
134	4291	5245
135	4324	5214
136	4360	5188
137	4399	5164
138	4433	5135
139	4467	5105
140	4499	5073
141	4531	5041
142	4564	5011
143	4596	4979
144	4629	4948
145	4661	4916
146	4693	4885
147	4725	4853
148	4759	4823
149	4792	4792
150	4824	4760
151	4857	4729
152	4889	4697
153	4922	4666
154	4954	4634
155	4989	4605
156	5023	4575
157	5057	4545
158	5093	4516
159	5125	4484
160	5158	4453
161	5191	4422
162	5223	4390
163	5255	4358
164	5287	4326
165	5320	4295
166	5352	4262
167	5386	4232
168	5417	4199
169	5448	4166
170	5480	4134
171	5512	4102
172	5543	4069
173	5576	4038
174	5608	4005
175	5639	3973
176	5671	3941
177	5706	3911
178	5740	3880
179	5773	3849
180	5806	3817
181	5839	3786
182	5871	3754
183	5904	3722
184	5937	3690
185	5971	3659
186	6003	3627
187	6035	3595
188	6069	3564
189	6102	3532
190	6134	3500
191	6166	3468
192	6200	3437
193	6231	3405
194	6263	3372
195	6294	3340
196	6325	3307
197	6356	3274
198	6387	3241
199	6419	3209
200	6452	3178
201	6485	3146
202	6518	3114
203	6550	3082
204	6583	3050
205	6616	3019
206	6647	2986
207	6679	2954
208	6711	2922
209	6744	2890
210	6776	2858
211	6808	2826
212	6840	2793
213	6872	2761
214	6903	2729
215	6934	2696
216	6965	2664
217	6996	2631
218	7028	2599
219	7060	2567
220	7092	2535
221	7124	2503
222	7157	2471
223	7189	2439
224	7221	2407
225	7254	2375
226	7286	2343
227	7318	2311
228	7349	2278
229	7381	2246
230	7414	2214
231	7446	2182
232	7478	2150
233	7509	2117
234	7540	2085
235	7572	2053
236	7604	2021
237	7638	1989
238	7670	1957
239	7702	1925
240	7735	1893
241	7767	1861
242	7799	1829
243	7832	1797
244	7863	1765
245	7896	1733
246	7928	1701
247	7960	1669
248	7993	1637
249	8026	1605
250	8058	1573
251	8091	1541
252	8124	1509
253	8157	1477
254	8189	1445
255	8221	1413
256	8252	1380
257	8284	1348
258	8315	1316
259	8346	1284
260	8377	1251
261	8408	1219
262	8440	1187
263	8472	1155
264	8504	1123
265	8536	1091
266	8570	1059
267	8604	1027
268	8637	995
269	8669	963
270	8701	931
271	8735	899
272	8767	867
273	8799	834
274	8830	802
275	8862	770
276	8892	738
277	8924	706
278	8956	674
279	8986	641
280	9018	609
281	9050	577
282	9082	545
283	9114	513
284	9148	481
285	9181	449
286	9215	417
287	9248	385
288	9282	353
289	9314	321
290	9345	289
291	9378	256
292	9411	224
293	9445	192
294	9479	160
295	9512	128
296	9544	96
297	9577	64
298	9609	32
299	9641	0
